index,author,viaf_author_uri,title,date,gutenberg_id,genre,source,wc1,wc2,underwood_id,underwood_filename
0,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,1706,36587,fic,ecc,4196,3908,DefoDTR,K060989.000.txt
1,"Congreve, William, 1670-1729",http://viaf.org/viaf/24616924,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,1713,2363,fic,ecc,22794,21573,CongWIO,K004609.000.txt
2,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,1719,11866,fic,ecc,123262,114079,DefoDLS,K061280.000.txt
3,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,1719,561,fic,ecc,114531,108551,DefoDFA,K018256.000.txt
4,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,1721,370,fic,ecc,139327,129467,DefoDFM,K059793.000.txt
5,"Carey, Henry, 1687?-1743",http://viaf.org/viaf/14965532,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,1726,28105,fic,ecc,6300,5789,CareHLD,K099473.000.txt
6,"Swift, Jonathan, 1667-1745",http://viaf.org/viaf/14777110,Gulliver's Travels into Several Remote Nations of the World,1726,829,fic,ecc,104516,97265,SwifJGT,SwifJGT.txt
7,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,1741,6124,fic,ecc,104139,96265,RichSPO3,K089370.001.txt
8,"Haywood, Eliza, 1693-1756",http://viaf.org/viaf/64027723,The Fortunate Foundlings,1744,10804,fic,ecc,102702,98283,HaywEFF,HaywEFF.txt
9,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,1748,9296;9798; 9881;10462;10462;10799;11889;12180;12398,fic,ecc,118071,110252,RichSCO3,K051638.004.txt
